DATE,TOTAL_POINTS
2020-06-22,51324772
2020-06-23,51347718
2020-06-24,51779232
2020-06-25,52318722
2020-06-26,58290536
2020-06-27,58773780
2020-06-28,40387880
2020-06-29,49549668
2020-06-30,48188624
2020-07-01,49697426
2020-07-02,52143960
2020-07-03,57735446
2020-07-04,56286976
2020-07-05,36478318
2020-07-06,49893156
2020-07-07,48586218
2020-07-08,54035908
2020-07-09,58784174
2020-07-10,60738700
2020-07-11,59780218
2020-07-12,38293354
2020-07-13,55026240
2020-07-14,53755226
2020-07-15,57615902
2020-07-16,60649786
2020-07-17,61988784
2020-07-18,62239206
2020-07-19,43429400
2020-07-20,56060622
2020-07-21,55048114
2020-07-22,56545934
2020-07-23,62684724
2020-07-24,58768950
2020-07-25,63530134
2020-07-26,41136966
2020-07-27,57093038
2020-07-28,54928678
2020-07-29,57918453
2020-07-30,63637684
2020-07-31,60610778
2020-08-01,63776346
2020-08-02,43628374
2020-08-03,59547058
2020-08-04,60272188
2020-08-05,58441832
2020-08-06,59472917
2020-08-07,60041414
2020-08-08,62582142
2020-08-09,43269516
2020-08-10,58415722
2020-08-11,55559426
2020-08-12,56397099
2020-08-13,61789678
2020-08-14,66349292
2020-08-15,65463428
2020-08-16,45186868
2020-08-17,58212704
2020-08-18,55175798
2020-08-19,55750816
2020-08-20,62008228
2020-08-21,69752906
2020-08-22,73318804
2020-08-23,48013422
2020-08-24,59991144
2020-08-25,57662468
2020-08-26,65108554
2020-08-27,70950756
2020-08-28,75240472
2020-08-29,75437354
2020-08-30,48843778
2020-08-31,58837490
2020-09-01,57709414
2020-09-02,58373378
2020-09-03,62001844
2020-09-04,65562702
2020-09-05,69552894
2020-09-06,47280742
2020-09-07,56134928
2020-09-08,54956470
2020-09-09,54781080
2020-09-10,59158282
2020-09-11,66128178
2020-09-12,72198914
2020-09-13,44841678
2020-09-14,53546510
2020-09-15,51284138
2020-09-16,54045490
2020-09-17,62264950
2020-09-18,73123466
2020-09-19,67873832
2020-09-20,51194992
2020-09-21,63252114
2020-09-22,61493520
2020-09-23,67989610
2020-09-24,66613780
2020-09-25,72680484
2020-09-26,77341772
2020-09-27,53368391
2020-09-28,62403822
2020-09-29,55603974
2020-09-30,55939548
2020-10-01,60038766
2020-10-02,62361680
2020-10-03,70114416
2020-10-04,50085062
2020-10-05,55445400
2020-10-06,53941794
2020-10-07,54683362
2020-10-08,59942218
2020-10-09,64351716
2020-10-10,69546130
2020-10-11,44880180
2020-10-12,55629270
2020-10-13,50904180
2020-10-14,64497054
2020-10-15,64359312
2020-10-16,68495520
2020-10-17,72222128
